Asset_ID,Asset_Name,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Install_Date,Warranty_End,Expected_EOL,Lifecycle_Status,Current_Status,Location_ID,Business_Unit,Criticality,Environment,Replacement_Cost_CAD
AST-0000048,LAP-0000048,Laptop,Dell,Latitude 5430,83DHX8BM92,2026-02-03,2026-02-27,2031-02-26,2027-04-30,EOL within 12 months,In Service,LOC-0092,Retail Banking,Medium,Production,1550
AST-0000049,LAP-0000049,Laptop,Dell,Latitude 5430,2VJ99T2D5E,2025-05-10,2025-05-24,2030-05-23,2027-04-30,EOL within 12 months,In Service,LOC-0056,Cybersecurity,Medium,Production,1550
AST-0000050,LAP-0000050,Laptop,Lenovo,ThinkPad T14 Gen 2,S0R2SDS8B2,2024-05-21,2024-06-11,2027-06-11,2026-02-28,Past EOL,Quarantined,LOC-0045,Commercial Banking,Low,Development,1500
AST-0000051,LAP-0000051,Laptop,Apple,MacBook Air M2,PDZP6LFEWV,2024-03-09,2024-04-08,2029-04-07,2027-07-31,EOL within 24 months,Quarantined,LOC-0008,Retail Banking,Medium,Development,1650
AST-0000052,LAP-0000052,Laptop,HP,EliteBook 840 G8,2EX5T5P5O3,2023-02-20,2023-03-31,2028-03-29,2026-01-31,Past EOL,Planned Refresh,LOC-0076,Wealth Management,High,Production,1500
AST-0000053,LAP-0000053,Laptop,HP,EliteBook 850 G9,YRDDP0NEC8,2022-10-12,2022-11-02,2026-11-01,2027-04-30,EOL within 12 months,Retired,LOC-0081,Technology,Medium,Production,1650
AST-0000054,LAP-0000054,Laptop,HP,EliteBook 840 G8,5Z8VMUHXID,2024-10-04,2024-10-12,2028-10-11,2026-01-31,Past EOL,Retired,LOC-0091,Data & Analytics,Critical,Development,1500
AST-0000055,LAP-0000055,Laptop,HP,EliteBook 840 G8,WXA73JGZLM,2021-08-24,2021-09-11,2026-09-10,2026-01-31,Past EOL,In Service,LOC-0058,Cybersecurity,High,Test,1500
AST-0000056,LAP-0000056,Laptop,Dell,Latitude 7440,DTNQFLL7V5,2024-01-19,2024-02-25,2029-02-23,2028-04-30,EOL within 24 months,In Service,LOC-0103,Retail Banking,High,Production,1850
AST-0000057,LAP-0000057,Laptop,Dell,Latitude 7440,PJ1EPKYRYB,2023-07-11,2023-08-24,2026-08-23,2028-04-30,EOL within 24 months,Planned Refresh,LOC-0070,Wealth Management,Medium,Test,1850
AST-0000058,LAP-0000058,Laptop,Dell,Latitude 5420,LA0GNZS43C,2021-03-16,2021-03-30,2025-03-29,2026-03-31,Past EOL,Quarantined,LOC-0055,Technology,High,Development,1450
AST-0000059,LAP-0000059,Laptop,Dell,Latitude 5420,OXKO8G8QYN,2023-08-11,2023-08-13,2027-08-12,2026-03-31,Past EOL,Planned Refresh,LOC-0020,Data & Analytics,High,Test,1450
AST-0000060,LAP-0000060,Laptop,Dell,Latitude 5430,0H2CWTG1M8,2023-08-12,2023-09-09,2028-09-07,2027-04-30,EOL within 12 months,Quarantined,LOC-0103,Risk,Medium,Development,1550
AST-0000061,LAP-0000061,Laptop,Dell,Latitude 7440,C8WQUUY5X9,2024-07-27,2024-08-03,2027-08-03,2028-04-30,EOL within 24 months,In Service,LOC-0066,Commercial Banking,High,Test,1850
AST-0000062,LAP-0000062,Laptop,HP,EliteBook 840 G8,VMCQBNKX9D,2021-11-06,2021-12-05,2024-12-04,2026-01-31,Past EOL,Retired,LOC-0121,Wealth Management,Medium,Development,1500
AST-0000063,LAP-0000063,Laptop,Apple,MacBook Air M2,Q3XLRFCD6M,2024-08-26,2024-09-25,2029-09-24,2027-07-31,EOL within 24 months,Quarantined,LOC-0142,Legal & Compliance,High,Production,1650
AST-0000064,LAP-0000064,Laptop,Dell,Latitude 5430,SVN7N1YBWM,2025-01-28,2025-03-11,2028-03-10,2027-04-30,EOL within 12 months,In Service,LOC-0011,Commercial Banking,Medium,Development,1550
AST-0000065,LAP-0000065,Laptop,Dell,Latitude 5430,5MUFM8ZOV7,2025-05-17,2025-06-30,2029-06-29,2027-04-30,EOL within 12 months,In Service,LOC-0073,Commercial Banking,Critical,Test,1550
AST-0000066,LAP-0000066,Laptop,Apple,MacBook Air M2,96DYSAL8M1,2024-08-10,2024-09-21,2028-09-20,2027-07-31,EOL within 24 months,In Service,LOC-0033,Technology,High,Test,1650
AST-0000067,LAP-0000067,Laptop,Lenovo,ThinkPad T14 Gen 2,45BM1ENF31,2021-11-09,2021-11-19,2024-11-18,2026-02-28,Past EOL,In Service,LOC-0076,Data & Analytics,Low,Test,1500
AST-0000068,LAP-0000068,Laptop,Apple,MacBook Pro 14-inch M2 Pro,2II826GYUP,2023-03-31,2023-04-27,2027-04-26,2028-01-31,EOL within 24 months,In Service,LOC-0061,Legal & Compliance,High,Test,2850
AST-0000069,LAP-0000069,Laptop,HP,EliteBook 850 G9,5BRN7ZSEDF,2025-01-24,2025-02-27,2029-02-26,2027-04-30,EOL within 12 months,Planned Refresh,LOC-0042,Cybersecurity,High,Production,1650
AST-0000070,LAP-0000070,Laptop,Apple,MacBook Air M2,OONNCILDZM,2023-04-28,2023-05-26,2026-05-25,2027-07-31,EOL within 24 months,In Service,LOC-0057,Cybersecurity,Critical,Production,1650
AST-0000071,LAP-0000071,Laptop,Dell,Latitude 7440,ACJ4T0SEKK,2023-06-18,2023-07-07,2027-07-06,2028-04-30,EOL within 24 months,In Service,LOC-0036,Technology,Medium,Test,1850
AST-0000072,LAP-0000072,Laptop,Lenovo,ThinkPad T14 Gen 2,VASIFPWIOX,2023-06-10,2023-07-21,2028-07-19,2026-02-28,Past EOL,In Service,LOC-0118,Retail Banking,High,Development,1500
AST-0000073,LAP-0000073,Laptop,Apple,MacBook Air M2,A5BNN0MCIX,2024-07-08,2024-07-13,2029-07-12,2027-07-31,EOL within 24 months,In Service,LOC-0140,Risk,Critical,Test,1650
AST-0000074,LAP-0000074,Laptop,HP,EliteBook 840 G8,QZW3C1QKBH,2021-10-01,2021-10-04,2025-10-03,2026-01-31,Past EOL,In Service,LOC-0140,Capital Markets,High,Test,1500
AST-0000075,LAP-0000075,Laptop,HP,EliteBook 840 G8,GM25LEN606,2022-09-28,2022-10-31,2026-10-30,2026-01-31,Past EOL,Planned Refresh,LOC-0140,Wealth Management,Low,Test,1500
AST-0000076,LAP-0000076,Laptop,HP,EliteBook 840 G8,20CV3TLCXL,2022-01-18,2022-02-19,2027-02-18,2026-01-31,Past EOL,Retired,LOC-0128,Capital Markets,High,Development,1500
AST-0000077,LAP-0000077,Laptop,HP,EliteBook 850 G9,WPX2CYOS0F,2023-03-08,2023-04-22,2027-04-21,2027-04-30,EOL within 12 months,In Service,LOC-0090,Wealth Management,High,Development,1650
AST-0000078,LAP-0000078,Laptop,Dell,Latitude 7440,NUVY8N1UTO,2025-09-14,2025-09-17,2028-09-16,2028-04-30,EOL within 24 months,Quarantined,LOC-0018,Commercial Banking,High,Development,1850
AST-0000079,LAP-0000079,Laptop,Lenovo,ThinkPad T14 Gen 3,E1ZHWY9HEC,2023-09-24,2023-10-02,2026-10-01,2027-05-31,EOL within 12 months,In Service,LOC-0048,Risk,Medium,Test,1600
AST-0000080,LAP-0000080,Laptop,Apple,MacBook Pro 14-inch M2 Pro,64Z7W2SEHE,2023-06-29,2023-08-12,2027-08-11,2028-01-31,EOL within 24 months,Planned Refresh,LOC-0089,Technology,Medium,Development,2850
AST-0000081,LAP-0000081,Laptop,Dell,Latitude 5420,WDL9ZS13C9,2023-03-10,2023-04-15,2028-04-13,2026-03-31,Past EOL,Quarantined,LOC-0095,Wealth Management,Critical,Production,1450
AST-0000082,LAP-0000082,Laptop,Dell,Latitude 5430,XG8P6BEFFL,2024-10-08,2024-11-07,2029-11-06,2027-04-30,EOL within 12 months,Quarantined,LOC-0133,Capital Markets,Critical,Test,1550
AST-0000083,LAP-0000083,Laptop,Lenovo,ThinkPad T14 Gen 2,JWWDXVUGW6,2023-01-10,2023-02-13,2027-02-12,2026-02-28,Past EOL,In Service,LOC-0021,Commercial Banking,High,Test,1500
AST-0000084,LAP-0000084,Laptop,Dell,Latitude 5420,OXRWK8R2YK,2021-04-28,2021-05-04,2024-05-03,2026-03-31,Past EOL,In Service,LOC-0148,Commercial Banking,Medium,Test,1450
AST-0000085,LAP-0000085,Laptop,Dell,Latitude 5420,LZ049ENULQ,2022-01-18,2022-02-16,2026-02-15,2026-03-31,Past EOL,In Service,LOC-0124,Wealth Management,Medium,Production,1450
AST-0000086,LAP-0000086,Laptop,Apple,MacBook Pro 14-inch M2 Pro,P8637ZGF9Q,2024-05-22,2024-06-01,2027-06-01,2028-01-31,EOL within 24 months,In Service,LOC-0013,Commercial Banking,Medium,Test,2850
AST-0000087,LAP-0000087,Laptop,Apple,MacBook Pro 14-inch M2 Pro,MBR5XQT4P5,2023-02-17,2023-02-23,2027-02-22,2028-01-31,EOL within 24 months,Quarantined,LOC-0130,Wealth Management,Medium,Test,2850
AST-0000088,LAP-0000088,Laptop,HP,EliteBook 840 G8,TCS1K9YE9O,2023-04-06,2023-04-30,2026-04-29,2026-01-31,Past EOL,In Service,LOC-0103,Retail Banking,High,Development,1500
AST-0000089,LAP-0000089,Laptop,Apple,MacBook Air M2,BZ2SF6F7LO,2024-07-18,2024-07-28,2027-07-28,2027-07-31,EOL within 24 months,Retired,LOC-0155,Risk,Medium,Production,1650
AST-0000090,LAP-0000090,Laptop,Lenovo,ThinkPad T14 Gen 3,RALDOL65WV,2025-08-28,2025-09-19,2030-09-18,2027-05-31,EOL within 12 months,In Service,LOC-0131,Finance,High,Development,1600
AST-0000091,LAP-0000091,Laptop,Lenovo,ThinkPad T14 Gen 2,1N3IUZGPPO,2025-02-17,2025-02-21,2030-02-20,2026-02-28,Past EOL,In Service,LOC-0123,Retail Banking,High,Test,1500
AST-0000092,LAP-0000092,Laptop,HP,EliteBook 850 G9,LXSLG6MM1Z,2025-01-22,2025-03-03,2029-03-02,2027-04-30,EOL within 12 months,Quarantined,LOC-0016,Technology,Medium,Test,1650
AST-0000093,LAP-0000093,Laptop,Lenovo,ThinkPad T14 Gen 3,1ZYRRU7ZKU,2025-10-01,2025-11-01,2028-10-31,2027-05-31,EOL within 12 months,Retired,LOC-0064,Commercial Banking,Medium,Development,1600
AST-0000094,LAP-0000094,Laptop,HP,EliteBook 850 G9,MPJRHT7ZEW,2024-06-17,2024-07-10,2027-07-10,2027-04-30,EOL within 12 months,Retired,LOC-0075,Retail Banking,Critical,Production,1650
AST-0000095,LAP-0000095,Laptop,Lenovo,ThinkPad T14 Gen 2,OZD1AT7O75,2022-06-12,2022-06-16,2027-06-15,2026-02-28,Past EOL,Planned Refresh,LOC-0136,Commercial Banking,Medium,Production,1500
AST-0000096,LAP-0000096,Laptop,Lenovo,ThinkPad T14 Gen 2,I04B7P47B4,2022-09-12,2022-10-03,2026-10-02,2026-02-28,Past EOL,Planned Refresh,LOC-0016,Operations,Low,Test,1500
AST-0000097,LAP-0000097,Laptop,Dell,Latitude 7440,K9TR74QGEF,2024-11-13,2024-11-16,2027-11-16,2028-04-30,EOL within 24 months,Planned Refresh,LOC-0077,Finance,Low,Development,1850
AST-0000098,LAP-0000098,Laptop,Lenovo,ThinkPad T14 Gen 3,G463SDYGFL,2026-05-11,2026-05-23,2029-05-22,2027-05-31,EOL within 12 months,In Service,LOC-0087,Cybersecurity,High,Production,1600
AST-0000099,LAP-0000099,Laptop,Dell,Latitude 5420,UUJMIYQFY7,2022-08-17,2022-09-11,2025-09-10,2026-03-31,Past EOL,Quarantined,LOC-0115,Technology,Critical,Development,1450
AST-0000100,LAP-0000100,Laptop,Lenovo,ThinkPad T14 Gen 3,RQ9NZ61231,2026-03-14,2026-03-22,2031-03-21,2027-05-31,EOL within 12 months,Quarantined,LOC-0076,Capital Markets,Medium,Production,1600
AST-0000101,LAP-0000101,Laptop,Dell,Latitude 5430,36HTF4PYZR,2025-03-12,2025-04-10,2030-04-09,2027-04-30,EOL within 12 months,Retired,LOC-0093,Retail Banking,High,Production,1550
AST-0000102,LAP-0000102,Laptop,Apple,MacBook Pro 14-inch M2 Pro,Q30O30UBMC,2023-04-24,2023-05-24,2026-05-23,2028-01-31,EOL within 24 months,In Service,LOC-0132,Wealth Management,High,Test,2850
AST-0000103,LAP-0000103,Laptop,Dell,Latitude 5430,9XP9N56NYX,2024-11-22,2024-11-25,2028-11-24,2027-04-30,EOL within 12 months,Retired,LOC-0105,Retail Banking,Low,Test,1550
AST-0000104,LAP-0000104,Laptop,Dell,Latitude 7440,419QZPNIQF,2025-03-13,2025-03-21,2028-03-20,2028-04-30,EOL within 24 months,In Service,LOC-0138,Wealth Management,Low,Production,1850
AST-0000105,LAP-0000105,Laptop,Dell,Latitude 5430,ICVQY5IBPT,2022-06-05,2022-07-18,2026-07-17,2027-04-30,EOL within 12 months,In Service,LOC-0158,Technology,Critical,Production,1550
AST-0000106,LAP-0000106,Laptop,Dell,Latitude 7440,3I59SOJUV0,2026-01-26,2026-02-14,2029-02-13,2028-04-30,EOL within 24 months,In Service,LOC-0148,Capital Markets,High,Test,1850
AST-0000107,LAP-0000107,Laptop,HP,EliteBook 850 G9,LOFN1R4KZ3,2025-05-13,2025-06-14,2028-06-13,2027-04-30,EOL within 12 months,In Service,LOC-0089,Legal & Compliance,High,Test,1650
AST-0000108,LAP-0000108,Laptop,Apple,MacBook Air M2,LCQNT3BNVB,2024-10-23,2024-11-19,2029-11-18,2027-07-31,EOL within 24 months,In Service,LOC-0136,Retail Banking,Medium,Production,1650
AST-0000109,LAP-0000109,Laptop,Lenovo,ThinkPad T14 Gen 2,K6HG0016ZZ,2024-05-19,2024-07-01,2029-06-30,2026-02-28,Past EOL,Planned Refresh,LOC-0056,Wealth Management,Critical,Development,1500
AST-0000110,LAP-0000110,Laptop,Lenovo,ThinkPad T14 Gen 2,JSRD9Q46NO,2024-03-07,2024-03-28,2028-03-27,2026-02-28,Past EOL,Retired,LOC-0098,Wealth Management,High,Development,1500
AST-0000111,LAP-0000111,Laptop,Lenovo,ThinkPad T14 Gen 2,KHIUIT7M1R,2021-11-26,2021-11-28,2025-11-27,2026-02-28,Past EOL,Quarantined,LOC-0142,Operations,High,Development,1500
AST-0000112,LAP-0000112,Laptop,Apple,MacBook Pro 14-inch M2 Pro,G698S4C3BA,2025-08-01,2025-08-12,2030-08-11,2028-01-31,EOL within 24 months,In Service,LOC-0091,Retail Banking,High,Development,2850
AST-0000113,LAP-0000113,Laptop,Lenovo,ThinkPad T14 Gen 2,W76XATOAZT,2021-06-20,2021-06-30,2024-06-29,2026-02-28,Past EOL,In Service,LOC-0056,Risk,Medium,Test,1500
AST-0000114,LAP-0000114,Laptop,Dell,Latitude 5420,7SIWJM2C8Q,2023-12-24,2024-02-07,2029-02-05,2026-03-31,Past EOL,In Service,LOC-0111,Cybersecurity,Critical,Production,1450
AST-0000115,LAP-0000115,Laptop,Lenovo,ThinkPad T14 Gen 2,RWZC4XL996,2022-10-08,2022-11-21,2025-11-20,2026-02-28,Past EOL,In Service,LOC-0009,Retail Banking,Medium,Test,1500
AST-0000116,LAP-0000116,Laptop,Lenovo,ThinkPad T14 Gen 2,76UB7L8V1Z,2022-04-09,2022-05-24,2027-05-23,2026-02-28,Past EOL,Planned Refresh,LOC-0122,Commercial Banking,Critical,Test,1500
AST-0000117,LAP-0000117,Laptop,Dell,Latitude 5430,6L1F90S9BP,2023-12-04,2023-12-15,2028-12-13,2027-04-30,EOL within 12 months,In Service,LOC-0062,Finance,High,Test,1550
AST-0000118,LAP-0000118,Laptop,HP,EliteBook 840 G8,J9RM7PYXDW,2024-05-24,2024-07-03,2029-07-02,2026-01-31,Past EOL,In Service,LOC-0102,Legal & Compliance,Medium,Test,1500
AST-0000119,LAP-0000119,Laptop,Dell,Latitude 5430,OMD7Q1DDPU,2022-09-16,2022-10-04,2025-10-03,2027-04-30,EOL within 12 months,Retired,LOC-0098,Technology,High,Test,1550
AST-0000120,LAP-0000120,Laptop,HP,EliteBook 850 G9,5AO20U9ISY,2022-10-29,2022-10-31,2025-10-30,2027-04-30,EOL within 12 months,In Service,LOC-0091,Finance,High,Development,1650
AST-0000121,LAP-0000121,Laptop,Dell,Latitude 7440,PRCJIWVHDK,2024-10-02,2024-10-22,2028-10-21,2028-04-30,EOL within 24 months,Planned Refresh,LOC-0127,Retail Banking,Low,Development,1850
AST-0000122,LAP-0000122,Laptop,HP,EliteBook 840 G8,9EL8HL88KZ,2024-06-24,2024-07-19,2028-07-18,2026-01-31,Past EOL,Planned Refresh,LOC-0113,Capital Markets,High,Test,1500
AST-0000123,LAP-0000123,Laptop,Lenovo,ThinkPad T14 Gen 2,VTYT8QZPKY,2022-11-30,2022-12-25,2026-12-24,2026-02-28,Past EOL,Planned Refresh,LOC-0101,Capital Markets,Critical,Production,1500
AST-0000124,LAP-0000124,Laptop,Apple,MacBook Pro 14-inch M2 Pro,2C9ROS7YT2,2023-10-13,2023-11-23,2027-11-22,2028-01-31,EOL within 24 months,In Service,LOC-0062,Commercial Banking,Low,Development,2850
