Software_ID,Software_Name,Version,Vendor,Category,GA_Date,Support_End_Date,EOL_Date,Lifecycle_Status,Annual_License_Cost_CAD,Inherent_Risk
SW-0077,JupyterLab 4.x,4.x,Project Jupyter,Data Science,2018-01-01,2028-12-31,2028-12-31,Supported,2600,Medium
SW-0078,Power BI Desktop,Current,Microsoft,Analytics,2018-01-01,2030-01-01,2030-01-01,Supported,1884,Medium
SW-0079,Tableau Desktop 2024.x,2024.x,Salesforce,Analytics,2018-01-01,2027-12-31,2027-12-31,EOL within 24 months,337,Medium
SW-0080,SAS Viya 4,4,SAS,Analytics,2018-01-01,2028-12-31,2028-12-31,Supported,47,Medium
SW-0081,IBM SPSS Statistics 29,29,IBM,Analytics,2018-01-01,2028-09-30,2028-09-30,Supported,1529,Medium
SW-0082,SAP S/4HANA,2022,SAP,Business Application,2018-01-01,2027-12-31,2027-12-31,EOL within 24 months,3405,Medium
SW-0083,ServiceNow IT Service Management,Utah,ServiceNow,ITSM,2018-01-01,2025-11-30,2025-11-30,Past EOL,1307,Medium
SW-0084,Salesforce Financial Services Cloud,Cloud,Salesforce,CRM,2018-01-01,2030-01-01,2030-01-01,Supported,2756,Medium
SW-0085,Workday Human Capital Management,Cloud,Workday,HRIS,2018-01-01,2030-01-01,2030-01-01,Supported,3916,Medium
SW-0086,MuleSoft Anypoint Platform,Cloud,Salesforce,Integration,2018-01-01,2030-01-01,2030-01-01,Supported,2082,Medium
SW-0087,IBM MQ,9.3,IBM,Middleware,2018-01-01,2028-12-31,2028-12-31,Supported,1693,Medium
SW-0088,Apache Tomcat,9.0,Apache Software Foundation,Middleware,2018-01-01,2027-03-31,2027-03-31,EOL within 12 months,1325,Medium
SW-0089,Apache Tomcat,10.1,Apache Software Foundation,Middleware,2018-01-01,2028-12-31,2028-12-31,Supported,1981,Medium
SW-0090,IBM WebSphere Application Server,9.0.5,IBM,Middleware,2018-01-01,2030-12-31,2030-12-31,Supported,1289,Medium
SW-0091,Oracle WebLogic Server,12c,Oracle,Middleware,2018-01-01,2027-12-31,2027-12-31,EOL within 24 months,1205,Medium
SW-0092,NGINX,1.24,F5,Web Server,2018-01-01,2027-12-31,2027-12-31,EOL within 24 months,3662,Medium
SW-0093,Apache HTTP Server,2.4,Apache Software Foundation,Web Server,2018-01-01,2028-12-31,2028-12-31,Supported,2973,Medium
